cliente,precio_venta,peso,t_id,fecha_venta,hora_venta,tipo,fecha_recogida,hora_recogida,lote,marca,coste_inicial,proveedor
CompraMaestra,3.5075653309306176,259.0979931649535,Carambola 001015.png,2022/09/16,17:00,Carambola,2022/09/16,07:00,I65B65S66U76G48L49L49Q46V78M,AromasCelestiales,1.8302360314547883,Apícola EcoMiel
CompraMaestra,4.352168288000223,333.6606575982566,Carambola 001078.png,2022/09/08,11:00,Carambola,2022/09/08,04:00,I65B65S66U76G48L49L55T46V78M,AventuraFrutal,2.421317430402385,Agronutrientes del Futuro
CompraMaestra,2.9777983790479805,408.849008242537,Carambola 001095.png,2022/09/09,15:00,Carambola,2022/09/09,09:00,I65B65S66U76G48L49L57Q46V78M,CosechaDivina,1.303494342429719,AgroSuministros del Campo
CompraMaestra,4.142618637053246,116.6140772175037,Carambola 001114.png,2022/09/16,09:00,Carambola,2022/09/16,00:00,I65B65S66U76G48L49M49P46V78M,FrutaDulce,2.500540925990669,Silos y Almacenes AgroVault
CompraMaestra,4.546923923241073,202.7221407670623,Carambola 001119.png,2022/09/09,14:00,Carambola,2022/09/09,07:00,I65B65S66U76G48L49M49U46V78M,VibranteSabores,2.920303227425187,Maquinaria Agrícola Avanzada
CompraMaestra,3.5868374864846917,79.2810756171427,Carambola 001131.png,2022/09/02,23:00,Carambola,2022/09/02,23:00,I65B65S66U76G48L49M51M46V78M,DulzuraSilvestre,2.359159586569858,Semillero Genético BioCampo
CompraMaestra,4.178459784313557,216.8756075687943,Carambola 001135.png,2022/09/27,17:00,Carambola,2022/09/27,13:00,I65B65S66U76G48L49M51Q46V78M,FrescuraInigualable,2.6604280402623357,EcoRiego Soluciones
CompraMaestra,3.532582365607258,431.09518366983207,Carambola 001285.png,2022/09/24,07:00,Carambola,2022/09/23,21:00,I65B65S66U76G48L49N56Q46V78M,TesoroNaturaleza,2.2890792045221624,AgroSuministros del Campo
CompraMaestra,4.323408176440957,287.5786513390876,Carambola 00134.png,2022/09/18,04:00,Carambola,2022/09/18,00:00,I65B65S66U76G48L49O52J80T71,JugosoAroma,2.252262824040748,Agricultura Inteligente TechCultivos
CompraMaestra,3.26958041633772,419.4522156862144,Carambola 00137.png,2022/09/30,10:00,Carambola,2022/09/30,04:00,I65B65S66U76G48L49O55J80T71,JugosoAroma,1.4165188980854908,Herramientas Agroindustriales Gómez
CompraMaestra,3.1200260390659147,110.58092076435388,Carambola 001408.png,2022/09/11,20:00,Carambola,2022/09/11,12:00,I65B65S66U76G48L49P48T46V78M,DeliciaNaturaleza,1.4863853326534056,Reforestación Ecológica VerdeVida
CompraMaestra,4.511975739384366,127.60427788843728,Carambola 001415.png,2022/09/20,11:00,Carambola,2022/09/20,03:00,I65B65S66U76G48L49P49Q46V78M,DeliciosoEdén,2.315436421545676,Fertilizantes Naturales del Valle
CompraMaestra,3.461779463029713,174.26648344924058,Carambola 001416.png,2022/09/01,06:00,Carambola,2022/09/14,05:00,I65B65S66U76G48L49P49R46V78M,SabrosoEdén,1.6004719366968692,Agronutrientes del Futuro
CompraMaestra,2.015176416470973,311.70053236331967,Carambola 001428.png,2022/09/17,18:00,Carambola,2022/09/17,10:00,I65B65S66U76G48L49P50T46V78M,FiestaSabor,1.4012741071957535,BioCosecha Orgánica
CompraMaestra,2.8481127933138244,394.1825293407157,Carambola 001496.png,2022/09/02,17:00,Carambola,2022/09/02,09:00,I65B65S66U76G48L49P57R46V78M,EncantoNativo,1.731487712669711,Fertilizantes Naturales del Valle
CompraMaestra,2.759760781569636,259.6534493515839,Carambola 001503.png,2022/09/21,06:00,Carambola,2022/09/20,21:00,I65B65S66U76G48L49Q48O46V78M,GourmetFrutas,1.8723678125315684,AgroEnvases Sostenibles
CompraMaestra,3.9607232499806,266.5129090729742,Carambola 001523.png,2022/09/25,20:00,Carambola,2022/09/25,11:00,I65B65S66U76G48L49Q50O46V78M,EncantoNativo,1.7553442695025612,Pesca Sustentable Oceanica
CompraMaestra,3.112018832451411,103.02732834924706,Carambola 001576.png,2022/09/29,12:00,Carambola,2022/09/29,07:00,I65B65S66U76G48L49Q55R46V78M,JugosoAroma,2.0041019809657747,Ganadería Orgánica TierraFértil
CompraMaestra,4.2582292165515705,271.5718604853195,Carambola 001647.png,2022/09/30,11:00,Carambola,2022/09/30,06:00,I65B65S66U76G48L49R52S46V78M,RicoBosque,,Apícola EcoMiel
